id;group;text;condition;time;question;correct
CI5;TraPro;Text1;SE;First;Question4;1
CI5;TraPro;Text1;SE;First;Question5;1
CI5;TraPro;Text2;ELF;Second;Question1;1
CI5;TraPro;Text2;ELF;Second;Question2;1
CI5;TraPro;Text2;ELF;Second;Question3;1
CI5;TraPro;Text2;ELF;Second;Question4;1
CI5;TraPro;Text2;ELF;Second;Question5;1
CI6;TraPro;Text1;SE;Second;Question1;1
CI6;TraPro;Text1;SE;Second;Question2;0
CI6;TraPro;Text1;SE;Second;Question3;1
CI6;TraPro;Text1;SE;Second;Question4;1
CI6;TraPro;Text1;SE;Second;Question5;0
CI6;TraPro;Text2;ELF;First;Question1;1
CI6;TraPro;Text2;ELF;First;Question2;1
CI6;TraPro;Text2;ELF;First;Question3;1
CI6;TraPro;Text2;ELF;First;Question4;0
CI6;TraPro;Text2;ELF;First;Question5;1
CI7;TraPro;Text1;SE;First;Question1;0
CI7;TraPro;Text1;SE;First;Question2;0
CI7;TraPro;Text1;SE;First;Question3;0
CI7;TraPro;Text1;SE;First;Question4;1
CI7;TraPro;Text1;SE;First;Question5;1
CI7;TraPro;Text2;ELF;Second;Question1;1
CI7;TraPro;Text2;ELF;Second;Question2;1
CI7;TraPro;Text2;ELF;Second;Question3;0
CI7;TraPro;Text2;ELF;Second;Question4;1
CI7;TraPro;Text2;ELF;Second;Question5;1
CI8;TraPro;Text1;SE;First;Question1;1
CI8;TraPro;Text1;SE;First;Question2;0
CI8;TraPro;Text1;SE;First;Question3;0
CI8;TraPro;Text1;SE;First;Question4;1
CI8;TraPro;Text1;SE;First;Question5;1
CI8;TraPro;Text2;ELF;Second;Question1;0
CI8;TraPro;Text2;ELF;Second;Question2;1
CI8;TraPro;Text2;ELF;Second;Question3;1
CI8;TraPro;Text2;ELF;Second;Question4;1
CI8;TraPro;Text2;ELF;Second;Question5;0
CI9;TraPro;Text1;ELF;Second;Question1;1
CI9;TraPro;Text1;ELF;Second;Question2;0
CI9;TraPro;Text1;ELF;Second;Question3;1
CI9;TraPro;Text1;ELF;Second;Question4;1
CI9;TraPro;Text1;ELF;Second;Question5;0
CI9;TraPro;Text2;SE;First;Question1;1
CI9;TraPro;Text2;SE;First;Question2;1
CI9;TraPro;Text2;SE;First;Question3;1
CI9;TraPro;Text2;SE;First;Question4;1
CI9;TraPro;Text2;SE;First;Question5;1
CJ0;TraPro;Text1;ELF;First;Question1;1
CJ0;TraPro;Text1;ELF;First;Question2;0
CJ0;TraPro;Text1;ELF;First;Question3;1
CJ0;TraPro;Text1;ELF;First;Question4;1
CJ0;TraPro;Text1;ELF;First;Question5;1
CJ0;TraPro;Text2;SE;Second;Question1;1
CJ0;TraPro;Text2;SE;Second;Question2;1
CJ0;TraPro;Text2;SE;Second;Question3;1
CJ0;TraPro;Text2;SE;Second;Question4;0
CJ0;TraPro;Text2;SE;Second;Question5;0
CJ1;TraPro;Text1;SE;Second;Question1;1
CJ1;TraPro;Text1;SE;Second;Question2;1
CJ1;TraPro;Text1;SE;Second;Question3;0
CJ1;TraPro;Text1;SE;Second;Question4;1
CJ1;TraPro;Text1;SE;Second;Question5;1
CJ1;TraPro;Text2;ELF;First;Question1;1
CJ1;TraPro;Text2;ELF;First;Question2;1
CJ1;TraPro;Text2;ELF;First;Question3;1
CJ1;TraPro;Text2;ELF;First;Question4;0
CJ1;TraPro;Text2;ELF;First;Question5;0
CJ2;TraPro;Text1;ELF;Second;Question1;0
CJ2;TraPro;Text1;ELF;Second;Question2;0
CJ2;TraPro;Text1;ELF;Second;Question3;0
CJ2;TraPro;Text1;ELF;Second;Question4;0
CJ2;TraPro;Text1;ELF;Second;Question5;1
CJ2;TraPro;Text2;SE;First;Question1;0
CJ2;TraPro;Text2;SE;First;Question2;1
CJ2;TraPro;Text2;SE;First;Question3;1
CJ2;TraPro;Text2;SE;First;Question4;1
CJ2;TraPro;Text2;SE;First;Question5;1
CJ3;TraPro;Text1;SE;First;Question1;1
CJ3;TraPro;Text1;SE;First;Question2;1
CJ3;TraPro;Text1;SE;First;Question3;1
CJ3;TraPro;Text1;SE;First;Question4;1
CJ3;TraPro;Text1;SE;First;Question5;1
CJ3;TraPro;Text2;ELF;Second;Question1;1
CJ3;TraPro;Text2;ELF;Second;Question2;1
CJ3;TraPro;Text2;ELF;Second;Question3;1
CJ3;TraPro;Text2;ELF;Second;Question4;1
CJ3;TraPro;Text2;ELF;Second;Question5;1
CJ4;TraPro;Text1;SE;Second;Question1;1
CJ4;TraPro;Text1;SE;Second;Question2;0
CJ4;TraPro;Text1;SE;Second;Question3;0
CJ4;TraPro;Text1;SE;Second;Question4;1
CJ4;TraPro;Text1;SE;Second;Question5;1
CJ4;TraPro;Text2;ELF;First;Question1;1
CJ4;TraPro;Text2;ELF;First;Question2;1
CJ4;TraPro;Text2;ELF;First;Question3;1
CJ4;TraPro;Text2;ELF;First;Question4;1
CJ4;TraPro;Text2;ELF;First;Question5;1
CJ5;TraPro;Text1;ELF;Second;Question1;1
CJ5;TraPro;Text1;ELF;Second;Question2;0
CJ5;TraPro;Text1;ELF;Second;Question3;1
CJ5;TraPro;Text1;ELF;Second;Question4;0
CJ5;TraPro;Text1;ELF;Second;Question5;1
CJ5;TraPro;Text2;SE;First;Question1;1
CJ5;TraPro;Text2;SE;First;Question2;1
CJ5;TraPro;Text2;SE;First;Question3;1
CJ5;TraPro;Text2;SE;First;Question4;1
CJ5;TraPro;Text2;SE;First;Question5;1
CJ6;TraPro;Text1;ELF;Second;Question1;1
CJ6;TraPro;Text1;ELF;Second;Question2;0
CJ6;TraPro;Text1;ELF;Second;Question3;0
CJ6;TraPro;Text1;ELF;Second;Question4;1
CJ6;TraPro;Text1;ELF;Second;Question5;1
CJ6;TraPro;Text2;SE;First;Question1;1
CJ6;TraPro;Text2;SE;First;Question2;1
CJ6;TraPro;Text2;SE;First;Question3;1
CJ6;TraPro;Text2;SE;First;Question4;1
CJ6;TraPro;Text2;SE;First;Question5;1
CJ7;TraPro;Text1;SE;First;Question1;1
CJ7;TraPro;Text1;SE;First;Question2;1
CJ7;TraPro;Text1;SE;First;Question3;1
CJ7;TraPro;Text1;SE;First;Question4;1
CJ7;TraPro;Text1;SE;First;Question5;1
CJ7;TraPro;Text2;ELF;Second;Question1;1
CJ7;TraPro;Text2;ELF;Second;Question2;1
CJ7;TraPro;Text2;ELF;Second;Question3;1
CJ7;TraPro;Text2;ELF;Second;Question4;1
CJ7;TraPro;Text2;ELF;Second;Question5;1
CJ8;TraPro;Text1;SE;Second;Question1;1
CJ8;TraPro;Text1;SE;Second;Question2;0
CJ8;TraPro;Text1;SE;Second;Question3;0
CJ8;TraPro;Text1;SE;Second;Question4;1
CJ8;TraPro;Text1;SE;Second;Question5;0
CJ8;TraPro;Text2;ELF;First;Question1;1
CJ8;TraPro;Text2;ELF;First;Question2;0
CJ8;TraPro;Text2;ELF;First;Question3;1
CJ8;TraPro;Text2;ELF;First;Question4;0
CJ8;TraPro;Text2;ELF;First;Question5;0
CJ9;TraPro;Text1;SE;Second;Question1;1
CJ9;TraPro;Text1;SE;Second;Question2;0
CJ9;TraPro;Text1;SE;Second;Question3;1
CJ9;TraPro;Text1;SE;Second;Question4;1
CJ9;TraPro;Text1;SE;Second;Question5;0
CJ9;TraPro;Text2;ELF;First;Question1;0
CJ9;TraPro;Text2;ELF;First;Question2;1
CJ9;TraPro;Text2;ELF;First;Question3;1
CJ9;TraPro;Text2;ELF;First;Question4;0
CJ9;TraPro;Text2;ELF;First;Question5;0
CK1;TraPro;Text1;SE;First;Question1;0
